702,643,703,1
640,662,642,0
639,53,640,798
1201,751,1202,1
5,23,6,794
287,476,289,0
961,379,962,0
461,795,466,0
484,451,485,0
1204,601,1206,0
126,599,127,2
597,790,598,0
610,704,614,0
1093,758,1094,3
573,796,575,2
1243,300,1244,0
525,51,526,799
511,5,512,796
701,710,703,0
575,410,577,0
645,366,646,0
1173,202,1174,797
1105,121,1106,798
1192,526,1194,0
131,782,133,1
574,742,575,2
107,229,108,799
880,364,881,0
650,26,651,797
902,634,903,2
487,36,488,799
145,41,146,799
815,197,816,798
324,785,328,0
155,700,159,0
